Date,Open,High,Low,Close,Adj Close,Volume,S&P500,SOX,VIX,KOSPI,kosATR14,kosATR30,kosATR60,kosATR90,kosADX14,kosADX30,kosADX60,kosADX90,log_return,CCI,MA5,MA10,MA20,MA60,MA20_ratio,MA60_ratio,MA20_volume,MA60_volumne,RASD5,RASD10,MACD,CCI14,CCI30,CCI60,ATR14,ATR30,ATR60,ATR90,ub,middle,lb,MTM1,MTM3,MTM6,ROC60,ROC90,WPR14,WPR30,WPR60,WPR90,ADXR14,ADXR30,ADXR60,ADXR90,ADX14,ADX30,ADX60,ADX90
2017-09-12,50200.0,50220.0,49140.0,49600.0,43717.01953125,12029750,2496.47998046875,1120.199951171875,10.579999923706056,2365.469970703125,20.86720981221223,20.393645051634167,19.46074376716071,18.972102465168298,26.983114542099226,30.344782421737996,21.68248483848641,11.790305691500807,-0.004024217404239183,150.89108045635,48720.0,47540.0,47179.0,48033.0,1.0513152037983,1.0326234047425729,10588757.5,11138179.166666666,862.6828411376304,580.199351385829,348.00358806459553,150.47594655739084,176.13715560098598,114.31565360406898,911.1476941618087,897.7322481509557,864.0416412216197,834.5461378949209,49402.81563984068,47179.0,44955.18436015932,-200.0,1480.0,3560.0,6.529209621993126,2.9045643153526868,-12.25296442687747,-10.333333333333334,-24.225352112676056,-24.225352112676056,23.632964155926373,24.252207207064572,19.62689116570035,14.930405319324702,22.07753402861092,17.25112055021,17.633616772539288,16.907453095988895
2017-09-13,49820.0,50400.0,49440.0,49620.0,43734.6484375,9357000,2498.3701171875,1122.0400390625,10.5,2360.179931640625,20.336708078973857,20.161863068142193,19.36040113015595,18.910636721631708,25.72169451571864,29.86335970413345,21.627910633244987,11.840986763423025,0.0004031691309784962,126.00026203198757,49244.0,47882.0,47350.0,48057.666666666664,1.0479408658922915,1.0325095544935599,9960925.0,11043379.166666666,917.9799862455238,582.9718876163328,458.8428386559535,125.4753392739626,174.0205039706345,118.82588585116012,914.6371445788224,899.8078398792571,865.6409472012593,835.9400696960885,49764.207944647686,47350.0,44935.792055352314,20.0,540.0,2860.0,3.0743664312422148,2.0987654320987703,-14.885496183206108,-12.62135922330097,-23.943661971830984,-23.943661971830984,23.254275596323403,23.78962091785708,19.665746932298944,14.993663861335246,21.85941545029899,16.95505973277217,17.514073625282354,16.85719782019989
2017-09-14,50060.0,50320.0,49760.0,50300.0,44333.99609375,14204750,2495.6201171875,1127.4200439453125,10.4399995803833,2377.659912109375,20.25765610681501,20.13080031482912,19.358227452465847,18.91418498548858,24.584213675794913,29.051351780469002,21.59005543112459,11.90929250736487,0.013611130555807592,112.10066320725686,49680.0,48280.0,47513.0,48104.666666666664,1.0586576305432198,1.0456365979738627,10050370.0,11113897.5,856.919706024398,587.3267067159657,594.6987433795948,112.29889276319811,183.74127344604318,128.9593908343207,899.3059199660494,893.1475785499485,862.880264747905,834.4296244772431,50241.2602515156,47513.0,44784.7397484844,680.0,500.0,3300.0,5.939342881213139,2.6530612244898055,-1.9083969465648856,-1.6181229773462784,-14.366197183098592,-14.366197183098592,23.206270266853743,23.15489643924895,19.703955102787564,15.058564564054453,21.65687677043791,16.66886760924893,17.396522863813036,16.807500936364097
2017-09-15,50300.0,50560.0,49860.0,50400.0,44422.13671875,10757300,2500.22998046875,1146.6800537109375,10.170000076293944,2386.070068359375,20.28924861146215,20.149772010063984,19.380589514456002,18.934026832003983,24.02743349315277,28.218547706702886,21.574337304392092,11.981768598676418,0.001986131012723366,98.31675851860976,49944.0,48672.0,47688.0,48145.333333333336,1.0568696527428283,1.046830430086682,10064337.5,11102255.833333334,710.299519944306,606.4670164057189,702.3385690932264,98.5154394299291,173.03576493643862,131.65275447963478,885.0697828256173,886.709325931617,860.1655936687732,832.9359619830515,50673.415214002904,47688.0,44702.584785997096,100.0,800.0,2280.0,5.087572977481236,5.483465885307659,-2.962962962962963,-2.5236593059936907,-12.95774647887324,-12.95774647887324,23.540341461457956,22.566384238524375,19.73356539395286,15.117628183753816,21.67343092365343,16.442324813703028,17.293956273329556,16.764316800636582
2017-09-18,50540.0,52480.0,50520.0,52480.0,46255.4296875,11524950,2503.8701171875,1160.9000244140625,10.149999618530273,2418.2099609375,21.137868130286282,20.550443672228518,19.5937450537984,19.081092332481717,23.994139582995,27.550588743631398,21.60896627177843,12.07164422018823,0.04044093577869318,133.53835758510417,50480.0,49316.0,47970.0,48226.333333333336,1.0940170940170941,1.0882021578805492,10385412.5,11135753.333333334,687.0934350933351,695.7305736633033,944.5938334660896,134.3781504903309,223.91805725139096,194.13445480481474,970.421941195216,926.4856817338964,880.496167107627,846.7922290721287,51581.57029559166,47970.0,44358.42970440834,2080.0,2860.0,3400.0,10.205795884082324,10.020964360586992,-0.0,-0.0,-0.0,-0.0,24.295759897776648,22.16976624570017,19.825916942823547,15.198867143950714,22.992120625251022,16.582468952396717,17.291176060482748,16.767275694516652
2017-09-19,52500.0,52640.0,51780.0,52120.0,45938.12890625,9850400,2506.64990234375,1164.97998046875,10.18000030517578,2416.050048828125,20.368743062944407,20.2110994560709,19.440017922693425,18.984303719759698,24.170985118651696,26.854837977768845,21.653731858932506,12.160068974457278,-0.006883388360868572,127.32127288382662,50984.0,49852.0,48226.0,48290.333333333336,1.0807448264421682,1.0793050368948927,10508845.0,11157380.0,702.1362076418385,782.4095243897325,1094.912415713021,127.10199949379898,204.62085308056962,201.4137084568125,962.534659681272,924.2694923427665,880.1545643224999,846.9389820824383,52230.69923964335,48226.0,44221.30076035665,-360.0,1820.0,2320.0,7.953603976801982,9.541824295922652,-7.282913165266105,-6.175771971496437,-6.175771971496437,-6.175771971496437,24.886949400036485,21.821784808839038,19.921557004753854,15.282483618122512,24.304419649916873,16.74492249508297,17.29615937006807,16.77385360375045
2017-09-20,52120.0,52500.0,51840.0,52220.0,46026.26171875,9292750,2508.239990234375,1148.5999755859375,9.779999732971193,2412.199951171875,20.58098197920731,20.31539907055604,19.50501908882562,19.0327013216582,24.531329405225268,26.14700397007011,21.70066426148344,12.257418042320374,0.001916673157549155,112.80892155203121,51504.0,50374.0,48463.0,48355.666666666664,1.0775230588283846,1.0799147979898944,10504247.5,11151980.0,769.9193125944837,843.9496494200017,1208.1829583200088,112.76943508019193,175.72127994404636,193.77790178571362,940.9250411326099,915.4605092646743,876.4853215837917,844.8618822815223,52809.49790060918,48463.0,44116.50209939082,100.0,1820.0,2620.0,8.115942028985511,9.430008382229671,-5.88235294117647,-4.98812351543943,-4.98812351543943,-4.98812351543943,25.435911080706333,21.565229069976695,19.999050668077512,15.371421015176342,25.522983029963736,16.901960919679684,17.30105962449364,16.780358425103874
2017-09-21,52220.0,52960.0,52220.0,52800.0,46537.46875,8839800,2500.60009765625,1143.8699951171875,9.670000076293944,2406.5,20.056625426005002,20.079552109350004,19.400601941251445,18.968337865132835,25.228451016139015,25.573308198715203,21.752135513092853,12.350139228576625,0.011045627184051087,118.5854335675845,52004.0,50842.0,48727.0,48440.666666666664,1.083588154411312,1.0899932563548533,10513365.0,11139768.333333334,858.6622875709029,857.7909967976484,1329.4270249400724,118.72488757616888,167.5123713769543,204.5693988742057,926.5732524802806,909.6118256225185,874.2105662240617,843.6967502561721,53438.40361251294,48727.0,44015.59638748706,580.0,320.0,3180.0,10.691823899371066,14.088159031979263,-2.1447721179624666,-1.8306636155606406,-1.8306636155606406,-1.8306636155606406,26.393603777259937,21.439617871509007,20.094481477640397,15.46465562432935,26.922878996074846,17.133429755203885,17.328322531613676,16.797361781464033
2017-09-25,53000.0,53680.0,53000.0,53620.0,47260.21484375,9303100,2496.659912109375,1126.93994140625,10.210000038146973,2380.39990234375,20.896156366558216,20.47056899216334,19.607426218793087,19.11102365100636,25.121974916778477,24.992263999839118,21.736959268743608,12.408275948715133,0.015411050046852766,131.6883762059111,52648.0,51296.0,49057.0,48535.333333333336,1.093014248731068,1.104762166394242,10416342.5,11156377.5,898.6229107333351,804.4612153388185,1474.681754913734,131.63276465441797,169.5006264542691,225.34257817697588,923.2465915888321,908.6247647684345,874.307056786994,844.1001196977702,54152.80651124039,49057.0,43961.19348875961,820.0,1500.0,3320.0,11.84814351272423,16.81917211328976,-0.7772020725388601,-0.6342494714587739,-0.6342494714587739,-0.6342494714587739,27.107929581620887,21.496017238006004,20.165563470089463,15.552817571832602,28.604897475151567,17.47637815133337,17.38938204359265,16.830419147888737
2017-09-26,53620.0,53620.0,53620.0,53620.0,47260.21484375,0,2496.840087890625,1126.4000244140625,10.170000076293944,2374.320068359375,20.54428596202727,20.320549049195396,19.546801960198618,19.076123062696567,25.14558347325947,24.438847004575507,21.716540365354607,12.462078111441546,0.0,115.99527121706075,52876.0,51678.0,49433.0,48636.666666666664,1.0847005037120951,1.102460420807347,9918237.5,10958418.333333334,817.9249792865952,752.5092071899631,1571.6798281989322,115.69755058572936,156.44784621822657,222.47667514843013,857.3004064753441,878.3372726094866,859.7352725072108,834.721229478906,54707.19794850364,49433.0,44158.80205149636,0.0,1400.0,3220.0,12.789230122002525,20.17032720753025,-0.8595988538681949,-0.6696428571428572,-0.6342494714587739,-0.6342494714587739,27.59045118479111,21.537343322789276,20.239645101845788,15.622734750830993,30.16677177715138,17.807894934258538,17.449423897038642,16.863109210242055
