Date,Open,High,Low,Close,Adj Close,Volume
2013-10-28,122200.000000,127600.000000,121200.000000,127600.000000,125940.593750,1079305
2013-10-29,127000.000000,127000.000000,123600.000000,126000.000000,124361.398438,985215
2013-10-30,125800.000000,126000.000000,121600.000000,126000.000000,124361.398438,977295
2013-10-31,124000.000000,124600.000000,118000.000000,119400.000000,117847.234375,2261070
2013-11-01,118000.000000,122600.000000,117400.000000,121000.000000,119426.414063,862840
2013-11-04,121200.000000,122000.000000,117200.000000,117200.000000,115675.828125,763935
2013-11-05,117400.000000,120800.000000,117400.000000,119400.000000,117847.234375,816165
2013-11-06,120000.000000,120800.000000,115600.000000,116000.000000,114491.437500,929920
2013-11-07,116000.000000,118400.000000,113200.000000,116600.000000,115083.632813,1529780
2013-11-08,118600.000000,119200.000000,112000.000000,112000.000000,110543.460938,1304440
2013-11-11,114400.000000,116600.000000,112400.000000,116000.000000,114491.437500,932345
2013-11-12,117400.000000,123400.000000,115800.000000,122800.000000,121203.000000,992050
2013-11-13,122400.000000,123800.000000,118000.000000,120000.000000,118439.406250,738515
2013-11-14,122600.000000,125400.000000,121400.000000,124000.000000,122387.398438,894005
2013-11-15,125400.000000,125400.000000,122400.000000,125400.000000,123769.187500,706495
2013-11-18,126000.000000,126200.000000,123400.000000,125000.000000,123374.390625,442850
2013-11-19,121800.000000,123600.000000,121400.000000,123600.000000,121992.601563,930855
2013-11-20,129400.000000,129400.000000,124400.000000,126000.000000,124361.398438,1102905
2013-11-21,126000.000000,127200.000000,123800.000000,125000.000000,123374.390625,591345
2013-11-22,126200.000000,127800.000000,124200.000000,127200.000000,125545.781250,577365
2013-11-25,127800.000000,129600.000000,127200.000000,127200.000000,125545.781250,637395
2013-11-26,127600.000000,130200.000000,126200.000000,127000.000000,125348.390625,885585
2013-11-27,127600.000000,132600.000000,125400.000000,132600.000000,130875.578125,865460
2013-11-28,135400.000000,141600.000000,135000.000000,139200.000000,137389.750000,1574955
2013-11-29,140000.000000,140400.000000,136400.000000,138400.000000,136600.125000,594685
2013-12-02,138400.000000,139800.000000,136600.000000,137400.000000,135613.125000,457035
2013-12-03,137200.000000,141200.000000,136600.000000,137200.000000,135415.718750,775615
2013-12-04,136800.000000,138800.000000,133400.000000,134600.000000,132849.562500,662480
2013-12-05,136200.000000,137800.000000,134400.000000,135200.000000,133441.750000,840460
2013-12-06,136200.000000,143800.000000,136000.000000,142000.000000,140153.312500,928180
2013-12-09,142400.000000,143800.000000,141000.000000,141800.000000,139955.906250,776065
2013-12-10,142600.000000,145600.000000,140600.000000,141800.000000,139955.906250,828580
2013-12-11,144000.000000,144400.000000,141800.000000,143400.000000,141535.078125,486365
2013-12-12,143600.000000,144800.000000,141000.000000,142800.000000,140942.921875,533055
2013-12-13,144400.000000,145600.000000,140000.000000,140600.000000,138771.515625,995370
2013-12-16,141600.000000,143000.000000,140200.000000,141600.000000,139758.515625,646205
2013-12-17,142800.000000,148000.000000,142400.000000,146400.000000,144496.093750,869850
2013-12-18,146400.000000,147000.000000,141200.000000,142000.000000,140153.312500,1181685
2013-12-19,144400.000000,147200.000000,142200.000000,146000.000000,144101.296875,839785
2013-12-20,147800.000000,148400.000000,144200.000000,147200.000000,145285.687500,699120
2013-12-23,148400.000000,149000.000000,146800.000000,148000.000000,146075.296875,639300
2013-12-24,150000.000000,150200.000000,146800.000000,146800.000000,144890.890625,682890
2013-12-26,146800.000000,147000.000000,142600.000000,142800.000000,140942.921875,842485
2013-12-27,144600.000000,148000.000000,144200.000000,146800.000000,145039.984375,528295
2013-12-30,143400.000000,145400.000000,143200.000000,144800.000000,143063.968750,589375
2014-01-02,147800.000000,148400.000000,144800.000000,145000.000000,143261.578125,550045
2014-01-03,145000.000000,145000.000000,138800.000000,139800.000000,138123.921875,1102345
2014-01-06,141000.000000,142600.000000,138200.000000,139800.000000,138123.921875,929130
2014-01-07,140200.000000,141600.000000,139800.000000,140000.000000,138321.515625,721165
2014-01-08,142800.000000,145400.000000,137200.000000,140000.000000,138321.515625,1141940
2014-01-09,139000.000000,139600.000000,134200.000000,134200.000000,132591.062500,1069900
2014-01-10,132400.000000,138400.000000,132400.000000,138000.000000,136345.484375,990805
2014-01-13,139000.000000,140200.000000,132800.000000,134000.000000,132393.453125,948620
2014-01-14,133600.000000,137200.000000,132400.000000,133400.000000,131800.640625,981955
2014-01-15,134800.000000,139000.000000,133400.000000,138600.000000,136938.312500,787795
2014-01-16,140800.000000,144200.000000,140200.000000,144000.000000,142273.546875,809200
2014-01-17,144000.000000,144200.000000,141600.000000,143000.000000,141285.546875,469025
2014-01-20,143000.000000,145600.000000,142800.000000,143400.000000,141680.750000,367725
2014-01-21,143200.000000,143200.000000,139600.000000,140000.000000,138321.515625,555645
2014-01-22,140000.000000,141000.000000,138600.000000,140800.000000,139111.937500,592930
2014-01-23,140800.000000,141800.000000,139000.000000,140000.000000,138321.515625,313850
2014-01-24,140800.000000,140800.000000,135000.000000,135800.000000,134171.843750,1689515
2014-01-27,130200.000000,133800.000000,128600.000000,131800.000000,130219.820313,1422640
2014-01-28,132000.000000,135600.000000,131600.000000,135400.000000,133776.671875,557485
2014-01-29,136000.000000,137200.000000,134400.000000,135000.000000,133381.453125,686520
2014-02-03,136400.000000,138400.000000,135000.000000,135200.000000,133579.078125,838625
2014-02-04,132000.000000,134600.000000,131600.000000,133200.000000,131603.046875,678670
2014-02-05,134800.000000,138200.000000,134000.000000,137800.000000,136147.890625,761545
2014-02-06,144000.000000,151800.000000,143400.000000,147800.000000,146028.000000,2140360
2014-02-07,150200.000000,151000.000000,146200.000000,150200.000000,148399.234375,934755
2014-02-10,149800.000000,150600.000000,146800.000000,146800.000000,145039.984375,662740
2014-02-11,147600.000000,149400.000000,146400.000000,147400.000000,145632.781250,493230
2014-02-12,148600.000000,149000.000000,146200.000000,148200.000000,146423.218750,343325
2014-02-13,148200.000000,149600.000000,146200.000000,149600.000000,147806.421875,486735
2014-02-14,149600.000000,151200.000000,148400.000000,150000.000000,148201.609375,521545
2014-02-17,151600.000000,153400.000000,149400.000000,149800.000000,148004.015625,489580
2014-02-18,150600.000000,151000.000000,148400.000000,150400.000000,148596.828125,260170
2014-02-19,150400.000000,151400.000000,148200.000000,150000.000000,148201.609375,374990
2014-02-20,143600.000000,146400.000000,137400.000000,137800.000000,136147.890625,3448010
2014-02-21,137600.000000,143800.000000,137400.000000,141000.000000,139309.531250,2414515
2014-02-24,142600.000000,142800.000000,135000.000000,136800.000000,135159.906250,1308045
2014-02-25,138400.000000,148800.000000,137000.000000,147000.000000,145237.593750,2407530
2014-02-26,150400.000000,152000.000000,148600.000000,152000.000000,150177.640625,1767605
2014-02-27,152000.000000,159800.000000,149600.000000,158400.000000,156500.937500,1395030
2014-02-28,160800.000000,164000.000000,159600.000000,163400.000000,161440.953125,1432420
2014-03-03,162000.000000,165400.000000,158800.000000,162600.000000,160650.562500,1331990
2014-03-04,161600.000000,165200.000000,161400.000000,164400.000000,162428.968750,470745
2014-03-05,166600.000000,171400.000000,166000.000000,170400.000000,168357.046875,749525
2014-03-06,176000.000000,176000.000000,166400.000000,167200.000000,165195.390625,1028675
2014-03-07,168000.000000,169800.000000,164800.000000,165200.000000,163219.390625,612180
2014-03-10,166600.000000,171400.000000,166000.000000,170600.000000,168554.640625,661590
2014-03-11,172800.000000,175400.000000,168000.000000,170000.000000,167961.859375,554250
2014-03-12,169200.000000,170800.000000,162400.000000,162400.000000,160452.968750,938460
2014-03-13,162800.000000,167800.000000,162400.000000,167400.000000,165393.015625,787445
2014-03-14,163600.000000,166400.000000,159800.000000,162000.000000,160057.750000,915630
2014-03-17,160600.000000,164400.000000,158400.000000,160200.000000,158279.359375,655680
2014-03-18,162600.000000,165400.000000,159200.000000,163800.000000,161836.156250,663245
2014-03-19,166600.000000,170000.000000,165000.000000,166600.000000,164602.625000,654555
2014-03-20,167600.000000,168800.000000,162400.000000,163000.000000,161045.781250,572225
2014-03-21,163000.000000,163800.000000,158800.000000,160800.000000,158872.125000,618835
