Date,Open,High,Low,Close,Adj Close,Volume,next_price,next_rtn,log_return,CCI,MA5,MA10,RASD5,RASD10,MACD,ATR,ub,middle,lb,MTM1,MTM3,ROC,WPR,S&P500,SOX,VIX,KOSPI
2013-07-25,34300.0,35000.0,34000.0,35000.0,32205.40234375,9640,31653.31640625,0.020408163265306145,0.02312240358933768,41.176470588235354,34890.0,34505.0,442.9744148426349,370.43901092604915,-383.13075219748134,1109.3205713628834,35560.84715353004,34380.0,33199.15284646996,800.0,0.0,16.666666666666675,-65.51724137931035,1690.25,477.3999938964844,12.970000267028809,1909.6099853515625
2013-07-26,34400.0,34400.0,34150.0,34400.0,31653.31640625,660,31377.26171875,0.0,-0.017291286259868918,9.66799468791409,34710.0,34545.0,414.54493549080627,362.53265236561174,-373.26055111543246,1090.7976734083918,35414.6197490365,34330.0,33245.3802509635,-600.0,-550.0,14.858096828046751,-50.0,1691.6500244140625,473.1199951171875,12.720000267028809,1910.81005859375
2013-07-29,34800.0,34800.0,34000.0,34100.0,31377.26171875,7820,31469.279296875,-0.02011494252873558,-0.008759445361305653,-3.63414261719414,34530.0,34555.0,391.49884056015736,358.13862503116394,-385.20543002703926,1070.026411022078,35375.17440445725,34300.0,33224.82559554275,-300.0,-100.0,13.85642737896493,-60.714285714285715,1685.3299560546875,469.9700012207031,13.390000343322754,1899.8900146484375
2013-07-30,34000.0,34200.0,34000.0,34200.0,31469.279296875,13760,32159.3984375,0.00588235294117645,0.002928328031836902,-53.580246913580496,34380.0,34555.0,363.19591747972026,349.4765473951944,-382.19693994322733,1007.8816673776439,35341.20813666155,34277.5,33213.79186333845,100.0,-800.0,15.15151515151516,-72.72727272727273,1685.9599609375,475.5899963378906,13.390000343322754,1917.050048828125
2013-07-31,34100.0,36700.0,34100.0,34950.0,32159.3984375,3280,33539.625,0.024926686217008776,0.0216929292951489,133.73983739837286,34530.0,34650.0,357.0675085711242,379.3603561472332,-315.65528030556743,1121.604405422098,35390.39947051293,34295.0,33199.60052948707,750.0,550.0,17.47899159663866,-56.45161290322581,1685.72998046875,477.7799987792969,13.449999809265137,1914.030029296875
2013-08-01,34950.0,36450.0,34950.0,36450.0,33539.625,2390,33539.625,0.0429184549356223,0.042022836818570726,186.43465909090983,34820.0,34855.0,457.0206463901545,449.9975306163951,-140.26617055747192,1148.6326621776623,35828.289714011036,34387.5,32946.710285988964,1500.0,2350.0,23.5593220338983,-8.064516129032258,1706.8699951171875,486.6000061035156,12.9399995803833,1920.739990234375
2013-08-02,36050.0,36450.0,36050.0,36450.0,33539.625,710,33585.6328125,0.01109570041608876,0.0,179.1147994467495,35230.0,34970.0,596.4970961127021,505.5210158017546,-1.2545755063256365,1095.1589005935434,36193.812268228095,34500.0,32806.187731771905,0.0,2250.0,24.615384615384617,-8.064516129032258,1709.6700439453125,483.3800048828125,11.979999542236328,1923.3800048828125
2013-08-05,36500.0,36500.0,36500.0,36500.0,33585.6328125,10,33401.6015625,0.0,0.0013708050055607117,160.66790352504657,35710.0,35120.0,712.5906220216348,552.0447312908965,111.66054398396227,1020.5046934082903,36510.868500187644,34625.0,32739.131499812356,50.0,1550.0,21.666666666666657,-7.017543859649122,1707.1400146484375,482.1400146484375,11.84000015258789,1916.219970703125
2013-08-06,36500.0,36550.0,36300.0,36300.0,33401.6015625,8170,33539.625,-0.005479452054794498,-0.005494530852236424,122.61347779692954,36130.0,35255.0,766.3585774989753,564.7772474893482,182.89990490674245,965.4686438791267,36692.42014175298,34775.0,32857.57985824702,-200.0,-150.0,23.469387755102034,-14.285714285714286,1697.3699951171875,478.67999267578125,12.720000267028809,1906.6199951171875
2013-08-07,36300.0,36900.0,36200.0,36450.0,33539.625,11020,33493.61328125,0.004132231404958775,0.004123725846675645,109.51951951951875,36430.0,35480.0,704.6636865763187,530.8655975737217,248.59570158519637,946.5065978877604,36823.00425984607,34945.0,33066.99574015393,150.0,0.0,21.500000000000007,-15.517241379310345,1690.9100341796875,474.1199951171875,12.979999542236328,1878.3299560546875
2013-08-08,36400.0,36600.0,35800.0,36400.0,33493.61328125,4070,32619.474609375,0.0,-0.00137280331834924,73.25017325017288,36420.0,35620.0,544.9539976042454,500.98732199720035,293.2451639220453,936.0418408957776,36995.08246913295,35062.5,33129.91753086705,-50.0,-100.0,20.13201320132014,-17.24137931034483,1697.47998046875,474.30999755859375,12.729999542236328,1883.969970703125
2013-08-09,35400.0,35700.0,34300.0,35450.0,32619.474609375,8840,31469.279296875,0.0014124293785311437,-0.026445281666881662,-18.113522537562687,36220.0,35725.0,415.37075938326836,505.9339277479856,249.10163539482164,1019.181709403222,37010.65988388087,35135.0,33259.34011611913,-950.0,-850.0,12.898089171974526,-50.0,1691.4200439453125,471.760009765625,13.40999984741211,1880.7099609375
2013-08-12,34550.0,34700.0,34050.0,34200.0,31469.279296875,4850,31423.275390625,-0.01013024602026047,-0.035897681128488734,-77.53193731068123,35760.0,35735.0,396.22685771846255,554.4087398700491,111.96238500574691,1046.3830158744206,36998.34832128232,35145.0,33291.65167871768,-1250.0,-2250.0,2.7027027027026973,-93.10344827586206,1689.469970703125,473.6199951171875,12.8100004196167,1884.8299560546875
2013-08-13,34100.0,34350.0,34100.0,34150.0,31423.275390625,1530,31331.255859375,0.0014662756598240456,-0.0014629367397561936,-84.45137805512242,35330.0,35730.0,479.119762596314,622.739170047645,-0.7474252421670826,989.4985147405334,37001.06799714189,35142.5,33283.93200285811,-50.0,-2250.0,-8.689839572192515,-94.82758620689656,1694.1600341796875,479.07000732421875,12.3100004196167,1913.030029296875
2013-08-14,34050.0,34150.0,34000.0,34050.0,31331.255859375,4860,31331.255859375,0.0,-0.0029326837558740293,-87.67465069860349,34850.0,35640.0,651.3506892299608,678.0071879031401,-97.02152244219178,929.5343351162097,36997.538798514084,35145.0,33292.461201485916,-100.0,-1400.0,-17.753623188405797,-98.27586206896552,1685.3900146484375,471.3399963378906,13.039999961853027,1923.9100341796875
2013-08-16,34000.0,34100.0,33550.0,34050.0,31331.255859375,4930,31699.318359375,0.0014705882352941124,0.0,-94.79034307496863,34380.0,35400.0,745.4150216403,645.184509622273,-171.34428779899463,902.4247397507662,37014.157096559946,35127.5,33240.842903440054,0.0,-150.0,-14.768460575719644,-85.07462686567165,1655.8299560546875,462.4599914550781,14.369999885559082,1920.1099853515625
2013-08-19,33900.0,34450.0,33900.0,34450.0,31699.318359375,6170,31791.33203125,0.016224188790560534,0.011678988749789202,-68.35656949725433,34180.0,35200.0,696.6807986151997,556.0257789992344,-195.7129012517762,877.2515440542829,36992.38040254166,35085.0,33177.61959745834,400.0,300.0,-6.765899864682002,-73.13432835820896,1646.06005859375,459.2900085449219,15.100000381469727,1917.6400146484375
2013-08-20,34450.0,35500.0,34450.0,34550.0,31791.33203125,4870,31745.328125,0.002902757619738683,0.0028984972032358195,-33.30795584316717,34250.0,35005.0,566.4239774089717,481.32541756371745,-204.59756533868494,889.590719478977,36983.92525225417,35062.5,33141.07474774583,100.0,500.0,-8.355437665782494,-70.14925373134328,1652.3499755859375,461.8299865722656,14.90999984741211,1887.8499755859375
2013-08-21,34850.0,34850.0,34500.0,34500.0,31745.328125,5140,31745.328125,-0.010043041606886627,-0.0014481061540248198,-44.18095585552732,34320.0,34825.0,409.3129247193323,444.2163436578235,-213.21549229750963,851.0485252304786,36976.64658624128,35040.0,33103.35341375872,-50.0,450.0,-8.730158730158733,-71.64179104477611,1642.800048828125,458.5299987792969,15.9399995803833,1867.4599609375
